what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1743370608526
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1743370608528
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.103.v200809101755,org.eclipse.wst.xsd.ui,1743370608532
stopped,bundle,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui,1743370608535
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200805140415,org.eclipse.wst.common.ui,1743370608538
stopped,bundle,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui,1743370608541
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200901300802,org.eclipse.cdt.debug.mi.ui,1743370608541
stopped,bundle,net.sf.pascaline.debug.ui,0.5.4.200902201919,net.sf.pascaline.debug.ui,1743370608552
stopped,bundle,net.sf.pascaline.managedbuilder.ui,0.5.0.200902201919,net.sf.pascaline.managedbuilder.ui,1743370608553
stopped,bundle,net.sf.pascaline.managedbuilder.core,0.5.5.200902201919,net.sf.pascaline.managedbuilder.core,1743370608556
stopped,bundle,net.sf.pascaline.ui,0.5.4.200902201919,net.sf.pascaline.ui,1743370608557
stopped,bundle,net.sf.pascaline.cdtinterface,0.5.7.200902201919,net.sf.pascaline.cdtinterface,1743370608558
stopped,bundle,org.eclipse.cdt.launch,5.0.2.200901300802,org.eclipse.cdt.launch,1743370608558
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200901300802,org.eclipse.cdt.debug.ui,1743370608559
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200901300802,org.eclipse.cdt.managedbuilder.ui,1743370608561
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200901300802,org.eclipse.cdt.make.ui,1743370608561
stopped,bundle,org.eclipse.cdt.ui,5.0.2.200901300802,org.eclipse.cdt.ui,1743370608562
stopped,bundle,org.eclipse.dltk.ruby.debug.ui,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.debug.ui,1743370608564
stopped,bundle,org.eclipse.dltk.ruby.ui,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.ui,1743370608564
stopped,bundle,org.eclipse.dltk.ruby.activestatedebugger,0.95.0.v20080604-1628,org.eclipse.dltk.ruby.activestatedebugger,1743370608565
stopped,bundle,org.eclipse.dltk.ruby.basicdebugger,0.95.1.v20080626-2043,org.eclipse.dltk.ruby.basicdebugger,1743370608566
stopped,bundle,org.eclipse.dltk.ruby.fastdebugger,0.95.1.v20080903-1434,org.eclipse.dltk.ruby.fastdebugger,1743370608568
stopped,bundle,org.eclipse.dltk.testing,0.95.0.v20080609-1540,org.eclipse.dltk.testing,1743370608576
stopped,bundle,org.eclipse.dltk.debug.ui,0.95.1.v20080903-1434,org.eclipse.dltk.debug.ui,1743370608578
stopped,bundle,org.eclipse.dltk.validators.ui,0.95.1.v20080707-1511,org.eclipse.dltk.validators.ui,1743370608578
